count,data
1, 0  ms,  0  mm,  0  dBm 
46, 0  ms,  0  mm,  0  dBm 
47, 0  ms,  0  mm,  0  dBm 
48, 0  ms,  0  mm,  0  dBm 
49, 0  ms,  0  mm,  0  dBm 
50, 0  ms,  0  mm,  0  dBm 
51, 0  ms,  0  mm,  0  dBm 
52, 0  ms,  0  mm,  0  dBm 
53, 0  ms,  0  mm,  0  dBm 
54, 0  ms,  0  mm,  0  dBm 
55, 0  ms,  0  mm,  0  dBm 
56, 0  ms,  0  mm,  0  dBm 
57, 0  ms,  0  mm,  0  dBm 
58, 0  ms,  0  mm,  0  dBm 
59, 0  ms,  0  mm,  0  dBm 
60, 0  ms,  0  mm,  0  dBm 
61, 0  ms,  0  mm,  0  dBm 
62, 0  ms,  0  mm,  0  dBm 
63, 0  ms,  0  mm,  0  dBm 
64, 0  ms,  0  mm,  0  dBm 
65, 0  ms,  0  mm,  0  dBm 
66, 0  ms,  0  mm,  0  dBm 
67, 0  ms,  0  mm,  0  dBm 
68, 0  ms,  0  mm,  0  dBm 
69, 0  ms,  0  mm,  0  dBm 
70, 0  ms,  0  mm,  0  dBm 
71, 0  ms,  0  mm,  0  dBm 
72, 0  ms,  0  mm,  0  dBm 
73, 0  ms,  0  mm,  0  dBm 
74, 0  ms,  0  mm,  0  dBm 
75, 0  ms,  0  mm,  0  dBm 
76, 0  ms,  0  mm,  0  dBm 
77, 0  ms,  0  mm,  0  dBm 
78, 0  ms,  0  mm,  0  dBm 
79, 0  ms,  0  mm,  0  dBm 
80, 0  ms,  0  mm,  0  dBm 
81, 0  ms,  0  mm,  0  dBm 
82, 0  ms,  0  mm,  0  dBm 
83, 0  ms,  0  mm,  0  dBm 
84, 0  ms,  0  mm,  0  dBm 
85, 0  ms,  0  mm,  0  dBm 
86, 0  ms,  0  mm,  0  dBm 
87, 0  ms,  0  mm,  0  dBm 
88, 0  ms,  0  mm,  0  dBm 
89, 0  ms,  0  mm,  0  dBm 
90, 0  ms,  0  mm,  0  dBm 
91, 0  ms,  0  mm,  0  dBm 
92, 0  ms,  0  mm,  0  dBm 
93, 0  ms,  0  mm,  0  dBm 
94, 0  ms,  0  mm,  0  dBm 
95, 0  ms,  0  mm,  0  dBm 
96, 0  ms,  0  mm,  0  dBm 
97, 0  ms,  0  mm,  0  dBm 
98, 0  ms,  0  mm,  0  dBm 
99, 0  ms,  0  mm,  0  dBm 
100, 0  ms,  0  mm,  0  dBm 
101, 0  ms,  0  mm,  0  dBm 
102, 0  ms,  0  mm,  0  dBm 
103, 0  ms,  0  mm,  0  dBm 
104, 0  ms,  0  mm,  0  dBm 
105, 0  ms,  0  mm,  0  dBm 
106, 0  ms,  0  mm,  0  dBm 
107, 0  ms,  0  mm,  0  dBm 
108, 0  ms,  0  mm,  0  dBm 
109, 0  ms,  0  mm,  0  dBm 
110, 0  ms,  0  mm,  0  dBm 
111, 0  ms,  0  mm,  0  dBm 
112, 0  ms,  0  mm,  0  dBm 
113, 0  ms,  0  mm,  0  dBm 
114, 0  ms,  0  mm,  0  dBm 
115, 0  ms,  0  mm,  0  dBm 
116, 0  ms,  0  mm,  0  dBm 
117, 0  ms,  0  mm,  0  dBm 
118, 0  ms,  0  mm,  0  dBm 
119, 0  ms,  0  mm,  0  dBm 
120, 0  ms,  0  mm,  0  dBm 
121, 0  ms,  0  mm,  0  dBm 
122, 0  ms,  0  mm,  0  dBm 
123, 0  ms,  0  mm,  0  dBm 
124, 0  ms,  0  mm,  0  dBm 
125, 0  ms,  0  mm,  0  dBm 
126, 0  ms,  0  mm,  0  dBm 
127, 0  ms,  0  mm,  0  dBm 
128, 0  ms,  0  mm,  0  dBm 
129, 0  ms,  0  mm,  0  dBm 
130, 0  ms,  0  mm,  0  dBm 
131, 0  ms,  0  mm,  0  dBm 
132, 0  ms,  0  mm,  0  dBm 
133, 0  ms,  0  mm,  0  dBm 
134, 0  ms,  0  mm,  0  dBm 
135, 0  ms,  0  mm,  0  dBm 
136, 0  ms,  0  mm,  0  dBm 
137, 0  ms,  0  mm,  0  dBm 
138, 0  ms,  0  mm,  0  dBm 
139, 0  ms,  0  mm,  0  dBm 
140, 0  ms,  0  mm,  0  dBm 
141, 0  ms,  0  mm,  0  dBm 
142, 0  ms,  0  mm,  0  dBm 
143, 0  ms,  0  mm,  0  dBm 
144, 0  ms,  0  mm,  0  dBm 
145, 0  ms,  0  mm,  0  dBm 
146, 0  ms,  0  mm,  0  dBm 
147, 0  ms,  0  mm,  0  dBm 
148, 0  ms,  0  mm,  0  dBm 
149, 0  ms,  0  mm,  0  dBm 
150, 0  ms,  0  mm,  0  dBm 
151, 0  ms,  0  mm,  0  dBm 
152, 0  ms,  0  mm,  0  dBm 
153, 0  ms,  0  mm,  0  dBm 
154, 0  ms,  0  mm,  0  dBm 
155, 0  ms,  0  mm,  0  dBm 
156, 0  ms,  0  mm,  0  dBm 
157, 0  ms,  0  mm,  0  dBm 
158, 0  ms,  0  mm,  0  dBm 
159, 0  ms,  0  mm,  0  dBm 
160, 0  ms,  0  mm,  0  dBm 
161, 0  ms,  0  mm,  0  dBm 
162, 0  ms,  0  mm,  0  dBm 
163, 0  ms,  0  mm,  0  dBm 
164, 0  ms,  0  mm,  0  dBm 
165, 0  ms,  0  mm,  0  dBm 
166, 0  ms,  0  mm,  0  dBm 
167, 0  ms,  0  mm,  0  dBm 
168, 0  ms,  0  mm,  0  dBm 
169, 0  ms,  0  mm,  0  dBm 
170, 0  ms,  0  mm,  0  dBm 
171, 0  ms,  0  mm,  0  dBm 
172, 0  ms,  0  mm,  0  dBm 
173, 0  ms,  0  mm,  0  dBm 
174, 0  ms,  0  mm,  0  dBm 
175, 0  ms,  0  mm,  0  dBm 
176, 0  ms,  0  mm,  0  dBm 
177, 0  ms,  0  mm,  0  dBm 
178, 0  ms,  0  mm,  0  dBm 
179, 0  ms,  0  mm,  0  dBm 
180, 0  ms,  0  mm,  0  dBm 
181, 0  ms,  0  mm,  0  dBm 
182, 0  ms,  0  mm,  0  dBm 
183, 0  ms,  0  mm,  0  dBm 
184, 0  ms,  0  mm,  0  dBm 
185, 0  ms,  0  mm,  0  dBm 
186, 0  ms,  0  mm,  0  dBm 
187, 0  ms,  0  mm,  0  dBm 
188, 0  ms,  0  mm,  0  dBm 
189, 0  ms,  0  mm,  0  dBm 
190, 0  ms,  0  mm,  0  dBm 
191, 0  ms,  0  mm,  0  dBm 
192, 0  ms,  0  mm,  0  dBm 
193, 0  ms,  0  mm,  0  dBm 
194, 0  ms,  0  mm,  0  dBm 
195, 0  ms,  0  mm,  0  dBm 
196, 0  ms,  0  mm,  0  dBm 
197, 0  ms,  0  mm,  0  dBm 
198, 0  ms,  0  mm,  0  dBm 
199, 0  ms,  0  mm,  0  dBm 
200, 0  ms,  0  mm,  0  dBm 
201, 0  ms,  0  mm,  0  dBm 
202, 0  ms,  0  mm,  0  dBm 
203, 0  ms,  0  mm,  0  dBm 
204, 0  ms,  0  mm,  0  dBm 
205, 0  ms,  0  mm,  0  dBm 
206, 0  ms,  0  mm,  0  dBm 
207, 0  ms,  0  mm,  0  dBm 
208, 0  ms,  0  mm,  0  dBm 
209, 0  ms,  0  mm,  0  dBm 
210, 0  ms,  0  mm,  0  dBm 
211, 0  ms,  0  mm,  0  dBm 
212, 0  ms,  0  mm,  0  dBm 
213, 0  ms,  0  mm,  0  dBm 
214, 0  ms,  0  mm,  0  dBm 
215, 0  ms,  0  mm,  0  dBm 
216, 0  ms,  0  mm,  0  dBm 
217, 0  ms,  0  mm,  0  dBm 
218, 0  ms,  0  mm,  0  dBm 
219, 0  ms,  0  mm,  0  dBm 
220, 0  ms,  0  mm,  0  dBm 
221, 0  ms,  0  mm,  0  dBm 
222, 0  ms,  0  mm,  0  dBm 
223, 0  ms,  0  mm,  0  dBm 
224, 0  ms,  0  mm,  0  dBm 
225, 0  ms,  0  mm,  0  dBm 
226, 0  ms,  0  mm,  0  dBm 
227, 0  ms,  0  mm,  0  dBm 
228, 0  ms,  0  mm,  0  dBm 
229, 0  ms,  0  mm,  0  dBm 
230, 0  ms,  0  mm,  0  dBm 
231, 0  ms,  0  mm,  0  dBm 
232, 0  ms,  0  mm,  0  dBm 
233, 0  ms,  0  mm,  0  dBm 
234, 0  ms,  0  mm,  0  dBm 
235, 0  ms,  0  mm,  0  dBm 
236, 0  ms,  0  mm,  0  dBm 
237, 0  ms,  0  mm,  0  dBm 
238, 0  ms,  0  mm,  0  dBm 
239, 0  ms,  0  mm,  0  dBm 
240, 0  ms,  0  mm,  0  dBm 
241, 0  ms,  0  mm,  0  dBm 
242, 0  ms,  0  mm,  0  dBm 
243, 0  ms,  0  mm,  0  dBm 
244, 0  ms,  0  mm,  0  dBm 
245, 0  ms,  0  mm,  0  dBm 
246, 0  ms,  0  mm,  0  dBm 
247, 0  ms,  0  mm,  0  dBm 
248, 0  ms,  0  mm,  0  dBm 
249, 0  ms,  0  mm,  0  dBm 
250, 0  ms,  0  mm,  0  dBm 
251, 0  ms,  0  mm,  0  dBm 
252, 0  ms,  0  mm,  0  dBm 
253, 0  ms,  0  mm,  0  dBm 
254, 0  ms,  0  mm,  0  dBm 
255, 0  ms,  0  mm,  0  dBm 
256, 0  ms,  0  mm,  0  dBm 
257, 0  ms,  0  mm,  0  dBm 
258, 0  ms,  0  mm,  0  dBm 
259, 0  ms,  0  mm,  0  dBm 
260, 0  ms,  0  mm,  0  dBm 
261, 0  ms,  0  mm,  0  dBm 
262, 0  ms,  0  mm,  0  dBm 
263, 0  ms,  0  mm,  0  dBm 
264, 0  ms,  0  mm,  0  dBm 
265, 0  ms,  0  mm,  0  dBm 
266, 0  ms,  0  mm,  0  dBm 
267, 0  ms,  0  mm,  0  dBm 
268, 0  ms,  0  mm,  0  dBm 
269, 0  ms,  0  mm,  0  dBm 
270, 0  ms,  0  mm,  0  dBm 
271, 0  ms,  0  mm,  0  dBm 
272, 0  ms,  0  mm,  0  dBm 
273, 0  ms,  0  mm,  0  dBm 
274, 0  ms,  0  mm,  0  dBm 
275, 0  ms,  0  mm,  0  dBm 
276, 0  ms,  0  mm,  0  dBm 
277, 0  ms,  0  mm,  0  dBm 
278, 0  ms,  0  mm,  0  dBm 
279, 0  ms,  0  mm,  0  dBm 
280, 0  ms,  0  mm,  0  dBm 
281, 0  ms,  0  mm,  0  dBm 
282, 0  ms,  0  mm,  0  dBm 
283, 0  ms,  0  mm,  0  dBm 
284, 0  ms,  0  mm,  0  dBm 
285, 0  ms,  0  mm,  0  dBm 
286, 0  ms,  0  mm,  0  dBm 
287, 0  ms,  0  mm,  0  dBm 
288, 0  ms,  0  mm,  0  dBm 
289, 0  ms,  0  mm,  0  dBm 
290, 0  ms,  0  mm,  0  dBm 
291, 0  ms,  0  mm,  0  dBm 
292, 0  ms,  0  mm,  0  dBm 
293, 0  ms,  0  mm,  0  dBm 
294, 0  ms,  0  mm,  0  dBm 
295, 0  ms,  0  mm,  0  dBm 
296, 0  ms,  0  mm,  0  dBm 
297, 0  ms,  0  mm,  0  dBm 
298, 0  ms,  0  mm,  0  dBm 
299, 0  ms,  0  mm,  0  dBm 
300, 0  ms,  0  mm,  0  dBm 
301, 0  ms,  0  mm,  0  dBm 
302, 0  ms,  0  mm,  0  dBm 
303, 0  ms,  0  mm,  0  dBm 
304, 0  ms,  0  mm,  0  dBm 
305, 0  ms,  0  mm,  0  dBm 
306, 0  ms,  0  mm,  0  dBm 
307, 494622  ms,  9730  mm,  -84  dBm 
308, 0  ms,  0  mm,  0  dBm 
309, 0  ms,  0  mm,  0  dBm 
310, 0  ms,  0  mm,  0  dBm 
311, 0  ms,  0  mm,  0  dBm 
312, 0  ms,  0  mm,  0  dBm 
313, 0  ms,  0  mm,  0  dBm 
314, 0  ms,  0  mm,  0  dBm 
315, 0  ms,  0  mm,  0  dBm 
316, 0  ms,  0  mm,  0  dBm 
317, 0  ms,  0  mm,  0  dBm 
318, 495454  ms,  9964  mm,  -89  dBm 
319, 0  ms,  0  mm,  0  dBm 
320, 495762  ms,  9922  mm,  -86  dBm 
321, 0  ms,  0  mm,  0  dBm 
322, 0  ms,  0  mm,  0  dBm 
323, 0  ms,  0  mm,  0  dBm 
324, 0  ms,  0  mm,  0  dBm 
325, 0  ms,  0  mm,  0  dBm 
326, 0  ms,  0  mm,  0  dBm 
327, 0  ms,  0  mm,  0  dBm 
328, 0  ms,  0  mm,  0  dBm 
329, 0  ms,  0  mm,  0  dBm 
330, 0  ms,  0  mm,  0  dBm 
331, 0  ms,  0  mm,  0  dBm 
332, 0  ms,  0  mm,  0  dBm 
333, 496409  ms,  10049  mm,  -87  dBm 
334, 496611  ms,  10030  mm,  -86  dBm 
335, 497025  ms,  10129  mm,  -84  dBm 
336, 0  ms,  0  mm,  0  dBm 
337, 497768  ms,  10091  mm,  -85  dBm 
338, 0  ms,  0  mm,  0  dBm 
339, 0  ms,  0  mm,  0  dBm 
340, 0  ms,  0  mm,  0  dBm 
341, 0  ms,  0  mm,  0  dBm 
342, 0  ms,  0  mm,  0  dBm 
343, 0  ms,  0  mm,  0  dBm 
344, 0  ms,  0  mm,  0  dBm 
345, 0  ms,  0  mm,  0  dBm 
346, 0  ms,  0  mm,  0  dBm 
347, 0  ms,  0  mm,  0  dBm 
348, 0  ms,  0  mm,  0  dBm 
349, 0  ms,  0  mm,  0  dBm 
350, 0  ms,  0  mm,  0  dBm 
351, 0  ms,  0  mm,  0  dBm 
352, 0  ms,  0  mm,  0  dBm 
353, 0  ms,  0  mm,  0  dBm 
354, 0  ms,  0  mm,  0  dBm 
355, 0  ms,  0  mm,  0  dBm 
356, 0  ms,  0  mm,  0  dBm 
357, 0  ms,  0  mm,  0  dBm 
358, 0  ms,  0  mm,  0  dBm 
359, 0  ms,  0  mm,  0  dBm 
360, 499845  ms,  10077  mm,  -86  dBm 
361, 0  ms,  0  mm,  0  dBm 
362, 500244  ms,  10133  mm,  -85  dBm 
363, 500601  ms,  10105  mm,  -85  dBm 
364, 500847  ms,  10138  mm,  -85  dBm 
365, 501216  ms,  10166  mm,  -85  dBm 
366, 501621  ms,  10105  mm,  -86  dBm 
367, 0  ms,  0  mm,  0  dBm 
368, 501913  ms,  10091  mm,  -86  dBm 
369, 0  ms,  0  mm,  0  dBm 
370, 0  ms,  0  mm,  0  dBm 
371, 502376  ms,  10082  mm,  -85  dBm 
372, 0  ms,  0  mm,  0  dBm 
373, 0  ms,  0  mm,  0  dBm 
374, 0  ms,  0  mm,  0  dBm 
375, 0  ms,  0  mm,  0  dBm 
376, 0  ms,  0  mm,  0  dBm 
377, 0  ms,  0  mm,  0  dBm 
378, 0  ms,  0  mm,  0  dBm 
379, 0  ms,  0  mm,  0  dBm 
380, 503379  ms,  10086  mm,  -86  dBm 
381, 503732  ms,  10091  mm,  -86  dBm 
382, 0  ms,  0  mm,  0  dBm 
383, 0  ms,  0  mm,  0  dBm 
384, 0  ms,  0  mm,  0  dBm 
385, 0  ms,  0  mm,  0  dBm 
386, 0  ms,  0  mm,  0  dBm 
387, 0  ms,  0  mm,  0  dBm 
388, 0  ms,  0  mm,  0  dBm 
389, 0  ms,  0  mm,  0  dBm 
390, 0  ms,  0  mm,  0  dBm 
391, 0  ms,  0  mm,  0  dBm 
392, 0  ms,  0  mm,  0  dBm 
393, 0  ms,  0  mm,  0  dBm 
394, 0  ms,  0  mm,  0  dBm 
395, 0  ms,  0  mm,  0  dBm 
396, 0  ms,  0  mm,  0  dBm 
397, 505019  ms,  10068  mm,  -87  dBm 
398, 0  ms,  0  mm,  0  dBm 
399, 0  ms,  0  mm,  0  dBm 
400, 505393  ms,  10082  mm,  -86  dBm 
401, 0  ms,  0  mm,  0  dBm 
402, 505796  ms,  10105  mm,  -87  dBm 
403, 0  ms,  0  mm,  0  dBm 
404, 0  ms,  0  mm,  0  dBm 
405, 506510  ms,  10133  mm,  -86  dBm 
406, 0  ms,  0  mm,  0  dBm 
407, 0  ms,  0  mm,  0  dBm 
408, 0  ms,  0  mm,  0  dBm 
409, 0  ms,  0  mm,  0  dBm 
410, 0  ms,  0  mm,  0  dBm 
411, 0  ms,  0  mm,  0  dBm 
412, 0  ms,  0  mm,  0  dBm 
413, 0  ms,  0  mm,  0  dBm 
414, 0  ms,  0  mm,  0  dBm 
415, 0  ms,  0  mm,  0  dBm 
416, 0  ms,  0  mm,  0  dBm 
417, 0  ms,  0  mm,  0  dBm 
418, 0  ms,  0  mm,  0  dBm 
419, 0  ms,  0  mm,  0  dBm 
420, 0  ms,  0  mm,  0  dBm 
421, 0  ms,  0  mm,  0  dBm 
422, 0  ms,  0  mm,  0  dBm 
423, 508078  ms,  10072  mm,  -86  dBm 
424, 508405  ms,  10105  mm,  -85  dBm 
425, 0  ms,  0  mm,  0  dBm 
426, 0  ms,  0  mm,  0  dBm 
427, 0  ms,  0  mm,  0  dBm 
428, 509366  ms,  10100  mm,  -86  dBm 
429, 0  ms,  0  mm,  0  dBm 
430, 509753  ms,  10100  mm,  -86  dBm 
431, 0  ms,  0  mm,  0  dBm 
432, 0  ms,  0  mm,  0  dBm 
433, 0  ms,  0  mm,  0  dBm 
434, 0  ms,  0  mm,  0  dBm 
435, 0  ms,  0  mm,  0  dBm 
436, 0  ms,  0  mm,  0  dBm 
437, 511151  ms,  10100  mm,  -85  dBm 
438, 0  ms,  0  mm,  0  dBm 
439, 511462  ms,  10105  mm,  -85  dBm 
440, 511789  ms,  10105  mm,  -85  dBm 
441, 0  ms,  0  mm,  0  dBm 
442, 0  ms,  0  mm,  0  dBm 
443, 0  ms,  0  mm,  0  dBm 
444, 0  ms,  0  mm,  0  dBm 
445, 0  ms,  0  mm,  0  dBm 
446, 512301  ms,  10063  mm,  -86  dBm 
447, 512644  ms,  10110  mm,  -85  dBm 
448, 512924  ms,  10105  mm,  -86  dBm 
449, 513157  ms,  10110  mm,  -85  dBm 
450, 0  ms,  0  mm,  0  dBm 
451, 513822  ms,  10119  mm,  -85  dBm 
452, 0  ms,  0  mm,  0  dBm 
453, 0  ms,  0  mm,  0  dBm 
454, 0  ms,  0  mm,  0  dBm 
455, 515037  ms,  10133  mm,  -86  dBm 
456, 515364  ms,  10105  mm,  -86  dBm 
457, 515692  ms,  10058  mm,  -87  dBm 
458, 516019  ms,  10021  mm,  -87  dBm 
459, 0  ms,  0  mm,  0  dBm 
460, 0  ms,  0  mm,  0  dBm 
461, 0  ms,  0  mm,  0  dBm 
462, 0  ms,  0  mm,  0  dBm 
463, 0  ms,  0  mm,  0  dBm 
464, 0  ms,  0  mm,  0  dBm 
465, 0  ms,  0  mm,  0  dBm 
466, 0  ms,  0  mm,  0  dBm 
467, 0  ms,  0  mm,  0  dBm 
468, 0  ms,  0  mm,  0  dBm 
469, 0  ms,  0  mm,  0  dBm 
470, 0  ms,  0  mm,  0  dBm 
471, 0  ms,  0  mm,  0  dBm 
472, 0  ms,  0  mm,  0  dBm 
473, 0  ms,  0  mm,  0  dBm 
474, 0  ms,  0  mm,  0  dBm 
475, 0  ms,  0  mm,  0  dBm 
476, 0  ms,  0  mm,  0  dBm 
477, 0  ms,  0  mm,  0  dBm 
478, 0  ms,  0  mm,  0  dBm 
479, 0  ms,  0  mm,  0  dBm 
480, 0  ms,  0  mm,  0  dBm 
481, 0  ms,  0  mm,  0  dBm 
482, 0  ms,  0  mm,  0  dBm 
483, 0  ms,  0  mm,  0  dBm 
484, 0  ms,  0  mm,  0  dBm 
485, 0  ms,  0  mm,  0  dBm 
486, 0  ms,  0  mm,  0  dBm 
487, 0  ms,  0  mm,  0  dBm 
488, 0  ms,  0  mm,  0  dBm 
489, 0  ms,  0  mm,  0  dBm 
490, 0  ms,  0  mm,  0  dBm 
491, 0  ms,  0  mm,  0  dBm 
492, 0  ms,  0  mm,  0  dBm 
493, 0  ms,  0  mm,  0  dBm 
494, 0  ms,  0  mm,  0  dBm 
495, 0  ms,  0  mm,  0  dBm 
496, 0  ms,  0  mm,  0  dBm 
497, 0  ms,  0  mm,  0  dBm 
498, 519075  ms,  8496  mm,  -89  dBm 
499, 519308  ms,  8435  mm,  -91  dBm 
500, 519540  ms,  8356  mm,  -90  dBm 
501, 519759  ms,  8309  mm,  -88  dBm 
502, 0  ms,  0  mm,  0  dBm 
503, 0  ms,  0  mm,  0  dBm 
504, 0  ms,  0  mm,  0  dBm 
505, 0  ms,  0  mm,  0  dBm 
506, 0  ms,  0  mm,  0  dBm 
507, 0  ms,  0  mm,  0  dBm 
508, 0  ms,  0  mm,  0  dBm 
509, 0  ms,  0  mm,  0  dBm 
510, 0  ms,  0  mm,  0  dBm 
511, 0  ms,  0  mm,  0  dBm 
512, 0  ms,  0  mm,  0  dBm 
513, 0  ms,  0  mm,  0  dBm 
514, 0  ms,  0  mm,  0  dBm 
515, 0  ms,  0  mm,  0  dBm 
516, 0  ms,  0  mm,  0  dBm 
517, 0  ms,  0  mm,  0  dBm 
518, 520657  ms,  7882  mm,  -92  dBm 
519, 520939  ms,  7676  mm,  -95  dBm 
520, 521171  ms,  7521  mm,  -97  dBm 
521, 521373  ms,  7385  mm,  -95  dBm 
522, 521637  ms,  7320  mm,  -93  dBm 
523, 521869  ms,  7263  mm,  -92  dBm 
524, 522102  ms,  7174  mm,  -92  dBm 
525, 0  ms,  0  mm,  0  dBm 
526, 0  ms,  0  mm,  0  dBm 
527, 523145  ms,  6804  mm,  -93  dBm 
528, 523347  ms,  6733  mm,  -93  dBm 
529, 523655  ms,  6664  mm,  -91  dBm 
530, 0  ms,  0  mm,  0  dBm 
531, 523918  ms,  6584  mm,  -94  dBm 
532, 524212  ms,  6485  mm,  -92  dBm 
533, 0  ms,  0  mm,  0  dBm 
534, 0  ms,  0  mm,  0  dBm 
535, 0  ms,  0  mm,  0  dBm 
536, 0  ms,  0  mm,  0  dBm 
537, 524585  ms,  6241  mm,  -88  dBm 
538, 524943  ms,  6110  mm,  -93  dBm 
539, 525210  ms,  6110  mm,  -89  dBm 
540, 525520  ms,  6096  mm,  -90  dBm 
541, 525815  ms,  6162  mm,  -90  dBm 
542, 525815  ms,  6162  mm,  -90  dBm 
543, 526219  ms,  6166  mm,  -90  dBm 
544, 526484  ms,  6185  mm,  -90  dBm 
545, 526686  ms,  6148  mm,  -90  dBm 
546, 526998  ms,  6115  mm,  -91  dBm 
547, 527324  ms,  6124  mm,  -91  dBm 
548, 0  ms,  0  mm,  0  dBm 
549, 0  ms,  0  mm,  0  dBm 
550, 527901  ms,  6105  mm,  -89  dBm 
551, 528165  ms,  6195  mm,  -89  dBm 
552, 528398  ms,  6218  mm,  -87  dBm 
553, 528675  ms,  6152  mm,  -87  dBm 
554, 528908  ms,  6129  mm,  -85  dBm 
555, 529173  ms,  6218  mm,  -85  dBm 
556, 529376  ms,  6260  mm,  -84  dBm 
557, 529639  ms,  6326  mm,  -86  dBm 
558, 529841  ms,  6298  mm,  -85  dBm 
559, 530200  ms,  6298  mm,  -86  dBm 
560, 530401  ms,  6387  mm,  -86  dBm 
561, 0  ms,  0  mm,  0  dBm 
562, 0  ms,  0  mm,  0  dBm 
563, 0  ms,  0  mm,  0  dBm 
564, 0  ms,  0  mm,  0  dBm 
565, 0  ms,  0  mm,  0  dBm 
566, 0  ms,  0  mm,  0  dBm 
567, 0  ms,  0  mm,  0  dBm 
568, 0  ms,  0  mm,  0  dBm 
569, 0  ms,  0  mm,  0  dBm 
570, 0  ms,  0  mm,  0  dBm 
571, 0  ms,  0  mm,  0  dBm 
572, 0  ms,  0  mm,  0  dBm 
573, 0  ms,  0  mm,  0  dBm 
574, 0  ms,  0  mm,  0  dBm 
575, 0  ms,  0  mm,  0  dBm 
576, 0  ms,  0  mm,  0  dBm 
577, 0  ms,  0  mm,  0  dBm 
578, 0  ms,  0  mm,  0  dBm 
579, 0  ms,  0  mm,  0  dBm 
580, 0  ms,  0  mm,  0  dBm 
581, 0  ms,  0  mm,  0  dBm 
582, 0  ms,  0  mm,  0  dBm 
583, 0  ms,  0  mm,  0  dBm 
584, 0  ms,  0  mm,  0  dBm 
585, 0  ms,  0  mm,  0  dBm 
586, 0  ms,  0  mm,  0  dBm 
587, 0  ms,  0  mm,  0  dBm 
588, 0  ms,  0  mm,  0  dBm 
589, 0  ms,  0  mm,  0  dBm 
590, 0  ms,  0  mm,  0  dBm 
591, 0  ms,  0  mm,  0  dBm 
592, 0  ms,  0  mm,  0  dBm 
593, 0  ms,  0  mm,  0  dBm 
594, 0  ms,  0  mm,  0  dBm 
595, 0  ms,  0  mm,  0  dBm 
596, 0  ms,  0  mm,  0  dBm 
597, 0  ms,  0  mm,  0  dBm 
598, 0  ms,  0  mm,  0  dBm 
599, 0  ms,  0  mm,  0  dBm 
600, 0  ms,  0  mm,  0  dBm 
601, 0  ms,  0  mm,  0  dBm 
602, 0  ms,  0  mm,  0  dBm 
603, 0  ms,  0  mm,  0  dBm 
604, 0  ms,  0  mm,  0  dBm 
605, 0  ms,  0  mm,  0  dBm 
606, 0  ms,  0  mm,  0  dBm 
607, 0  ms,  0  mm,  0  dBm 
608, 0  ms,  0  mm,  0  dBm 
609, 0  ms,  0  mm,  0  dBm 
610, 0  ms,  0  mm,  0  dBm 
611, 0  ms,  0  mm,  0  dBm 
612, 0  ms,  0  mm,  0  dBm 
613, 0  ms,  0  mm,  0  dBm 
614, 0  ms,  0  mm,  0  dBm 
615, 0  ms,  0  mm,  0  dBm 
616, 0  ms,  0  mm,  0  dBm 
617, 0  ms,  0  mm,  0  dBm 
618, 0  ms,  0  mm,  0  dBm 
619, 0  ms,  0  mm,  0  dBm 
620, 0  ms,  0  mm,  0  dBm 
621, 0  ms,  0  mm,  0  dBm 
622, 0  ms,  0  mm,  0  dBm 
623, 0  ms,  0  mm,  0  dBm 
624, 0  ms,  0  mm,  0  dBm 
